ROI number, volume, center of mass,Dosenbach,AAL,Eickhoff-Zilles,Talairach-Tournoux,Harvard-Oxford
1, 111, (-10.5;-49.4;-7.3),["None": 0.94],["Cerebelum_4_5_L": 0.64]["Lingual_L": 0.29],["Left Cerebellum": 0.67]["Left Lingual Gyrus": 0.29],["Left Culmen": 0.82],["Left Lingual Gyrus": 0.58]["None": 0.30]
2, 110, (28.6;55.2;18.2),["None": 0.82]["aPFC": 0.17],["Frontal_Sup_R": 0.51]["Frontal_Mid_R": 0.49],["Right Superior Frontal Gyrus": 0.64]["Right Middle Frontal Gyrus": 0.36],["Right Superior Frontal Gyrus": 0.54]["Right Middle Frontal Gyrus": 0.46],["Right Frontal Pole": 1.00]
3, 100, (-58.0;-10.6;26.1),["None": 0.82]["precentral gyrus": 0.17],["Postcentral_L": 0.94],["Left Postcentral Gyrus": 0.94],["Left Postcentral Gyrus": 0.50]["Left Precentral Gyrus": 0.50],["Left Postcentral Gyrus": 0.72]["Left Precentral Gyrus": 0.28]
4, 84, (14.5;11.0;12.6),["None": 0.92],["Caudate_R": 0.96],["Right Caudate Nucleus": 1.00],["Right Caudate": 0.90],["Right Caudate": 0.99]
5, 138, (63.8;-36.3;17.9),["None": 0.92],["Temporal_Sup_R": 0.85]["SupraMarginal_R": 0.15],["Right Superior Temporal Gyrus": 0.83]["Right Middle Temporal Gyrus": 0.17],["Right Superior Temporal Gyrus": 0.78]["Right Inferior Parietal Lobule": 0.15],["Right Supramarginal Gyrus; posterior division": 0.58]["Right Superior Temporal Gyrus; posterior division": 0.22]["Right Planum Temporale": 0.12]
6, 127, (-43.7;-76.8;19.0),["None": 0.96],["Occipital_Mid_L": 0.77]["Temporal_Mid_L": 0.21],["Left Middle Occipital Gyrus": 0.74]["Left Middle Temporal Gyrus": 0.16],["Left Middle Temporal Gyrus": 0.74]["Left Middle Occipital Gyrus": 0.22],["Left Lateral Occipital Cortex; superior division": 0.70]["Left Lateral Occipital Cortex; inferior division": 0.30]
7, 70, (-22.7;7.5;52.8),["None": 1.00],["Frontal_Mid_L": 0.63]["Frontal_Sup_L": 0.37],["Left Middle Frontal Gyrus": 0.66]["Left Superior Frontal Gyrus": 0.34],["Left Middle Frontal Gyrus": 0.39]["Left Superior Frontal Gyrus": 0.39]["Left Medial Frontal Gyrus": 0.23],["Left Superior Frontal Gyrus": 0.71]["Left Middle Frontal Gyrus": 0.29]
8, 138, (38.1;-65.7;45.3),["None": 0.91],["Angular_R": 0.86],["Right Angular Gyrus": 0.67]["Right Middle Occipital Gyrus": 0.22],["Right Superior Parietal Lobule": 0.34]["Right Precuneus": 0.31]["Right Inferior Parietal Lobule": 0.28],["Right Lateral Occipital Cortex; superior division": 1.00]
9, 118, (-32.6;21.9;3.2),["None": 0.86]["ant insula": 0.14],["Insula_L": 0.74]["Frontal_Inf_Tri_L": 0.19],["Left Insula Lobe": 0.57]["Left Inferior Frontal Gyrus (p. Triangularis)": 0.31]["Left Inferior Frontal Gyrus (p. Orbitalis)": 0.12],["Left Inferior Frontal Gyrus": 0.47]["Left Insula": 0.42],["Left Insular Cortex": 0.45]["Left Frontal Operculum Cortex": 0.33]["Left Frontal Orbital Cortex": 0.20]
10, 102, (-37.6;-28.7;15.6),["None": 0.86],["Rolandic_Oper_L": 0.39]["Heschl_L": 0.25]["Temporal_Sup_L": 0.25]["Insula_L": 0.12],["Left Superior Temporal Gyrus": 0.40]["Left Heschls Gyrus": 0.32]["Left Rolandic Operculum": 0.27],["Left Insula": 0.41]["Left Transverse Temporal Gyrus": 0.34]["Left Superior Temporal Gyrus": 0.23],["Left Heschl's Gyrus (includes H1 and H2)": 0.34]["Left Parietal Operculum Cortex": 0.33]["Left Planum Temporale": 0.20]["Left Insular Cortex": 0.13]
